Hostname,Group,Subject,AParameters,BParameters,XParameters,YParameters,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,3086,Start,1,ITI,899.017,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,4231,Start,1,Start,36000000,T,NA,0,F,0,<space>,1142,F,<space>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,5080,Train1,1,ITI,813.535,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,6683,Train1,1,A+Question,5000,T,Yes,1000,F,1,y+n,1597,T,y
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,8405,Train1,2,ITI,707.859,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,9199,Train1,2,X+Y+Question,5000,T,Yes,1000,F,1,y+n,788,T,y
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,11036,Train1,3,ITI,820.245,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,12156,Train1,3,G+Question,5000,T,No,1000,F,1,y+n,1112,T,y
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,13956,Train2,1,ITI,781.759,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,15446,Train2,1,X+Question,5000,T,No,0,F,1,y+n,NA,F,<lctrl>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,15617,Train2,1,X+Question,5000,T,No,0,F,1,y+n,NA,F,<lalt>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,19562,Train2,2,ITI,590.87,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,23210,Train2,2,A+B+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lalt>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,23227,Train2,2,A+B+Question,5000,T,Yes,0,F,1,y+n,NA,F,<lctrl>
helix,4,2,spaghetti.png,banana.png,bread.png,apple.png,NA,NA,NA,NA,23398,Train2,2,A+B+Question,5000,T,Yes,0,F,1,y+n,NA,F,<rshift>
