Phase,S1,Trials,S2Prob,S2,Response
Start,Start,1,,,
Pretrain,W+RXN?,8,1,No+W2,y+n
Pretrain,X+RXN?,8,1,Yes+X2,y+n
Pretrain,Y+RXN?,8,1,Yes+Y2,y+n
Pretrain,Z+RXN?,8,1,No+Z2,y+n
Pretrain,W+Z+RXN?,8,1,No+W2+Z2,y+n
Pretrain,X+Y+RXN?,8,1,Yes+X2+Y2,y+n
Train1,A+RXN?,8,1,Yes+A2,y+n
Train1,E+RXN?,8,1,Yes+E2,y+n
Train1,G+RXN?,8,1,No+G2,y+n
Train1,G+H+RXN?,8,1,No+G2+H2,y+n
Train1,I+J+RXN?,8,1,Yes+I2+J2,y+n
Train1,L+RXN?,8,1,No+L2,y+n
Train2,A+B+RXN?,8,1,Yes+A2+B2,y+n
Train2,C+D+RXN?,8,1,Yes+C2+D2,y+n
Train2,F+RXN?,8,1,Yes+F2,y+n
Train2,G+H+RXN?,8,1,No+G2+H2,y+n
Train2,K+L+RXN?,8,1,No+K2+L2,y+n
Train2,L+RXN?,8,1,No+L2,y+n
PreTest,TestInfo,1,,,
Test,B3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,C3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,D3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,E3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,F3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,E3+F3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,E3+M3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,F4+M3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,H3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
Test,L3+ProbScale,1,1,ProbOK,n+1+2+3+4+5+6+7+8+9+y
End,End,1,,,
